     count_list      y_history    x_0_history    x_1_history   dx_0_history   dx_1_history
            278    6.88995e-06    9.98144e-01    4.98144e-01    3.71213e-05    3.71213e-05
            279    6.61711e-06    9.98181e-01    4.98181e-01    3.63789e-05    3.63789e-05
            280    6.35507e-06    9.98217e-01    4.98217e-01    3.56513e-05    3.56513e-05
            281    6.10341e-06    9.98253e-01    4.98253e-01    3.49383e-05    3.49383e-05
            282    5.86171e-06    9.98288e-01    4.98288e-01    3.42395e-05    3.42395e-05
            283    5.62959e-06    9.98322e-01    4.98322e-01    3.35547e-05    3.35547e-05
            284    5.40666e-06    9.98356e-01    4.98356e-01    3.28836e-05    3.28836e-05
            285    5.19255e-06    9.98389e-01    4.98389e-01    3.22259e-05    3.22259e-05
            286    4.98693e-06    9.98421e-01    4.98421e-01    3.15814e-05    3.15814e-05
            287    4.78945e-06    9.98453e-01    4.98453e-01    3.09498e-05    3.09498e-05
            288    4.59978e-06    9.98483e-01    4.98483e-01    3.03308e-05    3.03308e-05
            289    4.41763e-06    9.98514e-01    4.98514e-01    2.97242e-05    2.97242e-05
            290    4.24269e-06    9.98544e-01    4.98544e-01    2.91297e-05    2.91297e-05
            291    4.07468e-06    9.98573e-01    4.98573e-01    2.85471e-05    2.85471e-05
            292    3.91333e-06    9.98601e-01    4.98601e-01    2.79762e-05    2.79762e-05
            293    3.75836e-06    9.98629e-01    4.98629e-01    2.74166e-05    2.74166e-05
            294    3.60953e-06    9.98657e-01    4.98657e-01    2.68683e-05    2.68683e-05
            295    3.46659e-06    9.98683e-01    4.98683e-01    2.63309e-05    2.63309e-05
            296    3.32931e-06    9.98710e-01    4.98710e-01    2.58043e-05    2.58043e-05
            297    3.19747e-06    9.98736e-01    4.98736e-01    2.52882e-05    2.52882e-05
            298    3.07085e-06    9.98761e-01    4.98761e-01    2.47825e-05    2.47825e-05
            299    2.94925e-06    9.98786e-01    4.98786e-01    2.42868e-05    2.42868e-05
            300    2.83246e-06    9.98810e-01    4.98810e-01    2.38011e-05    2.38011e-05
            301    2.72029e-06    9.98834e-01    4.98834e-01    2.33251e-05    2.33251e-05
            302    2.61257e-06    9.98857e-01    4.98857e-01    2.28586e-05    2.28586e-05
            303    2.50911e-06    9.98880e-01    4.98880e-01    2.24014e-05    2.24014e-05
            304    2.40975e-06    9.98902e-01    4.98902e-01    2.19534e-05    2.19534e-05
            305    2.31432e-06    9.98924e-01    4.98924e-01    2.15143e-05    2.15143e-05
            306    2.22268e-06    9.98946e-01    4.98946e-01    2.10840e-05    2.10840e-05
            307    2.13466e-06    9.98967e-01    4.98967e-01    2.06623e-05    2.06623e-05
            308    2.05013e-06    9.98988e-01    4.98988e-01    2.02491e-05    2.02491e-05
            309    1.96894e-06    9.99008e-01    4.99008e-01    1.98441e-05    1.98441e-05
            310    1.89097e-06    9.99028e-01    4.99028e-01    1.94472e-05    1.94472e-05
            311    1.81609e-06    9.99047e-01    4.99047e-01    1.90583e-05    1.90583e-05
            312    1.74417e-06    9.99066e-01    4.99066e-01    1.86771e-05    1.86771e-05
            313    1.67510e-06    9.99085e-01    4.99085e-01    1.83036e-05    1.83036e-05
            314    1.60877e-06    9.99103e-01    4.99103e-01    1.79375e-05    1.79375e-05
            315    1.54506e-06    9.99121e-01    4.99121e-01    1.75787e-05    1.75787e-05
            316    1.48388e-06    9.99139e-01    4.99139e-01    1.72272e-05    1.72272e-05
            317    1.42511e-06    9.99156e-01    4.99156e-01    1.68826e-05    1.68826e-05
            318    1.36868e-06    9.99173e-01    4.99173e-01    1.65450e-05    1.65450e-05
            319    1.31448e-06    9.99189e-01    4.99189e-01    1.62141e-05    1.62141e-05
